 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 1
1.000000E+03 1.000000E+02 6.000000E-07 50 0 2.000000E-07 50 0 0.000000E+00 0.000000E+00 51 0 99 0 0 0 0 1
1.500000E+03 1.000000E+02 6.000000E-07 50 0 2.000000E-07 50 0 0.000000E+00 0.000000E+00 52 0 98 0 0 0 0 4
2.000000E+03 9.999999E+01 6.000000E-07 50 0 1.000000E-07 49 1 0.000000E+00 0.000000E+00 53 0 97 0 0 0 0 7
2.500000E+03 9.999999E+01 5.000000E-07 49 1 1.000000E-07 49 1 0.000000E+00 0.000000E+00 55 0 95 1 0 0 0 10
3.000000E+03 9.999999E+01 5.000000E-07 49 1 0.000000E+00 48 2 0.000000E+00 0.000000E+00 59 1 90 2 0 0 0 14
3.500000E+03 9.999999E+01 4.000000E-07 48 2 0.000000E+00 48 2 0.000000E+00 0.000000E+00 60 1 89 4 0 0 0 16
4.000000E+03 9.999999E+01 1.600000E-06 48 2 4.000000E-07 48 2 0.000000E+00 0.000000E+00 60 1 89 7 0 0 0 19
4.500000E+03 9.999999E+01 1.600000E-06 48 2 4.000000E-07 48 2 0.000000E+00 0.000000E+00 62 1 87 9 0 0 0 22
5.000000E+03 9.999999E+01 1.600000E-06 48 2 3.000000E-07 47 3 0.000000E+00 0.000000E+00 65 1 84 11 0 0 0 28
5.500000E+03 9.999999E+01 1.500000E-06 47 3 2.000000E-07 46 4 0.000000E+00 0.000000E+00 66 1 83 14 0 0 0 32
6.000000E+03 9.999999E+01 1.500000E-06 47 3 2.000000E-07 46 4 0.000000E+00 0.000000E+00 71 1 78 15 0 0 0 35
6.500000E+03 9.999999E+01 1.500000E-06 47 3 2.000000E-07 46 4 0.000000E+00 0.000000E+00 72 1 77 18 0 0 0 36
7.000000E+03 9.999999E+01 2.100000E-06 47 3 4.000000E-07 46 4 0.000000E+00 0.000000E+00 76 1 73 23 0 0 0 43
7.500000E+03 9.999999E+01 2.100000E-06 47 3 4.000000E-07 46 4 0.000000E+00 0.000000E+00 81 1 68 25 0 0 0 45
8.000000E+03 9.999999E+01 2.700000E-06 47 3 6.000000E-07 46 4 0.000000E+00 0.000000E+00 82 1 67 29 0 0 0 49
8.500000E+03 9.999999E+01 2.700000E-06 47 3 6.000000E-07 46 4 0.000000E+00 0.000000E+00 86 1 63 35 0 0 0 53
9.000000E+03 9.999999E+01 3.300000E-06 47 3 8.000000E-07 46 4 0.000000E+00 0.000000E+00 89 1 60 37 0 0 0 58
9.500000E+03 9.999999E+01 4.500000E-06 47 3 1.200000E-06 46 4 0.000000E+00 0.000000E+00 90 1 59 43 0 0 0 63
1.000000E+04 9.999999E+01 4.500000E-06 47 3 1.200000E-06 46 4 0.000000E+00 0.000000E+00 93 1 56 48 0 0 0 67
1.050000E+04 9.999999E+01 4.500000E-06 47 3 1.100000E-06 45 5 0.000000E+00 0.000000E+00 94 1 55 53 0 0 0 73
1.100000E+04 9.999999E+01 4.500000E-06 47 3 9.000000E-07 43 7 0.000000E+00 0.000000E+00 97 1 52 58 0 0 0 77
1.150000E+04 9.999999E+01 4.400000E-06 46 4 8.000000E-07 42 8 0.000000E+00 0.000000E+00 98 1 51 65 0 0 0 80
1.200000E+04 9.999999E+01 4.300000E-06 45 5 7.000000E-07 41 9 0.000000E+00 0.000000E+00 98 1 51 72 0 0 0 91
1.250000E+04 9.999999E+01 4.900000E-06 45 5 8.000000E-07 40 10 0.000000E+00 0.000000E+00 98 1 51 81 0 0 0 96
1.300000E+04 9.999999E+01 4.900000E-06 45 5 8.000000E-07 40 10 0.000000E+00 0.000000E+00 102 1 47 84 0 0 0 101
