 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
1.000000E+03 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 3
1.500000E+03 9.999999E+01 5.000000E-07 49 1 2.000000E-07 50 0 0.000000E+00 0.000000E+00 54 0 96 0 0 0 0 4
2.000000E+03 9.999999E+01 5.000000E-07 49 1 2.000000E-07 50 0 0.000000E+00 0.000000E+00 54 0 96 2 0 0 0 8
2.500000E+03 9.999999E+01 5.000000E-07 49 1 2.000000E-07 50 0 0.000000E+00 0.000000E+00 54 0 96 2 0 0 0 11
3.000000E+03 9.999999E+01 1.600000E-06 48 2 6.000000E-07 50 0 0.000000E+00 0.000000E+00 55 0 95 4 0 0 0 14
3.500000E+03 9.999999E+01 1.600000E-06 48 2 6.000000E-07 50 0 0.000000E+00 0.000000E+00 57 0 93 4 0 0 0 14
4.000000E+03 9.999999E+01 1.600000E-06 48 2 6.000000E-07 50 0 0.000000E+00 0.000000E+00 60 0 90 6 0 0 0 16
4.500000E+03 9.999999E+01 1.600000E-06 48 2 6.000000E-07 50 0 0.000000E+00 0.000000E+00 64 0 86 7 0 0 0 24
5.000000E+03 9.999999E+01 1.400000E-06 46 4 6.000000E-07 50 0 0.000000E+00 0.000000E+00 69 1 80 8 0 0 0 31
5.500000E+03 9.999999E+01 2.000000E-06 46 4 8.000000E-07 50 0 0.000000E+00 0.000000E+00 71 1 78 13 0 0 0 34
6.000000E+03 9.999999E+01 2.000000E-06 46 4 6.000000E-07 48 2 0.000000E+00 0.000000E+00 74 1 75 19 0 0 0 39
6.500000E+03 9.999999E+01 2.000000E-06 46 4 5.000000E-07 47 3 0.000000E+00 0.000000E+00 75 1 74 21 0 0 0 41
7.000000E+03 9.999999E+01 2.600000E-06 46 4 6.000000E-07 46 4 0.000000E+00 0.000000E+00 77 1 72 28 0 0 0 47
7.500000E+03 9.999999E+01 3.200000E-06 46 4 7.000000E-07 45 5 0.000000E+00 0.000000E+00 81 1 68 32 0 0 0 52
8.000000E+03 9.999999E+01 3.100000E-06 45 5 7.000000E-07 45 5 0.000000E+00 0.000000E+00 84 1 65 32 0 0 0 57
8.500000E+03 9.999999E+01 3.700000E-06 45 5 9.000000E-07 45 5 0.000000E+00 0.000000E+00 87 1 62 35 0 0 0 57
9.000000E+03 9.999999E+01 3.600000E-06 44 6 7.000000E-07 43 7 0.000000E+00 0.000000E+00 92 1 57 39 0 2 0 59
9.500000E+03 9.999999E+01 3.600000E-06 44 6 7.000000E-07 43 7 0.000000E+00 0.000000E+00 98 1 51 45 0 2 0 64
1.000000E+04 9.999999E+01 3.600000E-06 44 6 5.000000E-07 41 9 0.000000E+00 0.000000E+00 101 1 48 52 0 2 0 71
1.050000E+04 9.999999E+01 3.500000E-06 43 7 4.000000E-07 40 10 0.000000E+00 0.000000E+00 101 1 48 56 0 2 0 76
1.100000E+04 9.999999E+01 3.500000E-06 43 7 3.000000E-07 39 11 0.000000E+00 0.000000E+00 104 1 45 60 0 2 0 80
