 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 1
1.000000E+03 1.000000E+02 5.000000E-07 49 1 1.000000E-07 49 1 0.000000E+00 0.000000E+00 51 0 99 0 0 0 0 1
1.500000E+03 1.000000E+02 5.000000E-07 49 1 1.000000E-07 49 1 0.000000E+00 0.000000E+00 52 0 98 0 0 0 0 2
2.000000E+03 9.999999E+01 4.000000E-07 48 2 1.000000E-07 49 1 0.000000E+00 0.000000E+00 55 1 94 0 0 0 0 4
2.500000E+03 9.999999E+01 4.000000E-07 48 2 0.000000E+00 48 2 0.000000E+00 0.000000E+00 56 1 93 3 0 0 0 10
3.000000E+03 9.999999E+01 4.000000E-07 48 2 0.000000E+00 47 3 0.000000E+00 0.000000E+00 56 1 93 3 0 0 0 17
3.500000E+03 9.999999E+01 1.000000E-06 48 2 2.000000E-07 47 3 0.000000E+00 0.000000E+00 57 1 92 5 0 0 0 20
4.000000E+03 9.999999E+01 1.000000E-06 48 2 1.000000E-07 46 4 0.000000E+00 0.000000E+00 59 1 90 8 0 0 0 23
4.500000E+03 9.999999E+01 1.500000E-06 47 3 3.000000E-07 46 4 0.000000E+00 0.000000E+00 62 1 87 8 0 0 0 26
5.000000E+03 9.999999E+01 1.500000E-06 47 3 3.000000E-07 46 4 0.000000E+00 0.000000E+00 64 1 85 11 0 0 0 30
5.500000E+03 9.999999E+01 1.300000E-06 45 5 3.000000E-07 46 4 0.000000E+00 0.000000E+00 67 1 82 14 0 0 0 31
6.000000E+03 9.999999E+01 1.300000E-06 45 5 2.000000E-07 45 5 0.000000E+00 0.000000E+00 71 1 78 15 0 0 0 37
6.500000E+03 9.999999E+01 1.300000E-06 45 5 2.000000E-07 45 5 0.000000E+00 0.000000E+00 74 1 75 20 0 0 0 43
7.000000E+03 9.999999E+01 1.300000E-06 45 5 1.000000E-07 44 6 0.000000E+00 0.000000E+00 76 1 73 22 0 0 0 52
7.500000E+03 9.999999E+01 1.900000E-06 45 5 3.000000E-07 44 6 0.000000E+00 0.000000E+00 81 1 68 24 0 0 0 57
8.000000E+03 9.999999E+01 1.900000E-06 45 5 2.000000E-07 43 7 0.000000E+00 0.000000E+00 81 1 68 32 0 0 0 60
8.500000E+03 9.999999E+01 2.500000E-06 45 5 3.000000E-07 42 8 0.000000E+00 0.000000E+00 83 1 66 38 0 0 0 65
9.000000E+03 9.999999E+01 3.100000E-06 45 5 4.000000E-07 41 9 0.000000E+00 0.000000E+00 86 1 63 40 0 0 0 69
9.500000E+03 9.999999E+01 3.100000E-06 45 5 4.000000E-07 41 9 0.000000E+00 0.000000E+00 87 1 62 42 0 0 0 77
1.000000E+04 9.999999E+01 3.100000E-06 45 5 3.000000E-07 40 10 0.000000E+00 0.000000E+00 90 1 59 43 0 0 0 79
1.050000E+04 9.999999E+01 4.300000E-06 45 5 7.000000E-07 40 10 0.000000E+00 0.000000E+00 93 1 56 51 0 2 0 81
1.100000E+04 9.999999E+01 4.900000E-06 45 5 9.000000E-07 40 10 0.000000E+00 0.000000E+00 96 1 53 54 0 2 0 86
1.150000E+04 9.999999E+01 5.500000E-06 45 5 1.100000E-06 40 10 0.000000E+00 0.000000E+00 98 1 51 57 0 2 0 97
1.200000E+04 9.999999E+01 5.500000E-06 45 5 1.000000E-06 39 11 0.000000E+00 0.000000E+00 100 1 49 62 0 2 0 99
1.250000E+04 9.999999E+01 5.500000E-06 45 5 1.000000E-06 39 11 0.000000E+00 0.000000E+00 102 1 47 68 0 2 0 101
1.300000E+04 9.999999E+01 5.500000E-06 45 5 1.000000E-06 39 11 0.000000E+00 0.000000E+00 104 1 45 75 0 2 0 106
