 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 6.000000E-07 50 0 2.000000E-07 50 0 0.000000E+00 0.000000E+00 49 1 100 0 0 0 0 0
1.000000E+03 9.999999E+01 6.000000E-07 50 0 1.000000E-07 49 1 0.000000E+00 0.000000E+00 53 1 96 0 0 0 0 0
1.500000E+03 9.999999E+01 6.000000E-07 50 0 1.000000E-07 49 1 0.000000E+00 0.000000E+00 55 1 94 1 0 0 0 4
2.000000E+03 9.999999E+01 6.000000E-07 50 0 1.000000E-07 49 1 0.000000E+00 0.000000E+00 56 1 93 1 0 0 0 6
2.500000E+03 9.999999E+01 1.200000E-06 50 0 3.000000E-07 49 1 0.000000E+00 0.000000E+00 59 1 90 5 0 0 0 8
3.000000E+03 9.999999E+01 1.200000E-06 50 0 2.000000E-07 48 2 0.000000E+00 0.000000E+00 60 1 89 6 0 0 0 16
3.500000E+03 9.999999E+01 1.100000E-06 49 1 1.000000E-07 47 3 0.000000E+00 0.000000E+00 64 1 85 8 0 0 0 17
4.000000E+03 9.999999E+01 1.100000E-06 49 1 0.000000E+00 46 4 0.000000E+00 0.000000E+00 65 1 84 9 0 0 0 19
4.500000E+03 9.999999E+01 1.100000E-06 49 1 0.000000E+00 46 4 0.000000E+00 0.000000E+00 65 1 84 14 0 2 0 24
5.000000E+03 9.999999E+01 2.300000E-06 49 1 4.000000E-07 46 4 0.000000E+00 0.000000E+00 67 1 82 15 0 2 0 29
5.500000E+03 9.999999E+01 2.300000E-06 49 1 2.000000E-07 44 6 0.000000E+00 0.000000E+00 69 1 80 16 0 2 0 32
6.000000E+03 9.999999E+01 2.300000E-06 49 1 2.000000E-07 44 6 0.000000E+00 0.000000E+00 71 1 78 17 0 2 0 35
6.500000E+03 9.999999E+01 2.300000E-06 49 1 2.000000E-07 44 6 0.000000E+00 0.000000E+00 72 1 77 18 0 2 0 39
7.000000E+03 9.999999E+01 2.200000E-06 48 2 1.000000E-07 43 7 0.000000E+00 0.000000E+00 77 1 72 21 0 2 0 40
7.500000E+03 9.999999E+01 2.800000E-06 48 2 3.000000E-07 43 7 0.000000E+00 0.000000E+00 78 1 71 26 0 2 0 43
8.000000E+03 9.999999E+01 2.800000E-06 48 2 3.000000E-07 43 7 0.000000E+00 0.000000E+00 79 1 70 30 0 2 0 46
8.500000E+03 9.999999E+01 2.800000E-06 48 2 3.000000E-07 43 7 0.000000E+00 0.000000E+00 82 1 67 35 0 2 0 58
9.000000E+03 9.999999E+01 2.800000E-06 48 2 3.000000E-07 43 7 0.000000E+00 0.000000E+00 83 0 67 39 0 2 0 66
9.500000E+03 9.999999E+01 2.700000E-06 47 3 3.000000E-07 43 7 0.000000E+00 0.000000E+00 83 0 67 43 0 2 0 70
1.000000E+04 9.999999E+01 3.900000E-06 47 3 6.000000E-07 42 8 0.000000E+00 0.000000E+00 88 0 62 50 0 2 0 76
1.050000E+04 9.999999E+01 3.900000E-06 47 3 6.000000E-07 42 8 0.000000E+00 0.000000E+00 89 0 61 58 0 2 0 82
1.100000E+04 9.999999E+01 3.800000E-06 46 4 6.000000E-07 42 8 0.000000E+00 0.000000E+00 89 0 61 70 0 2 0 88
1.150000E+04 9.999999E+01 3.800000E-06 46 4 6.000000E-07 42 8 0.000000E+00 0.000000E+00 91 0 59 75 0 2 0 93
1.200000E+04 9.999999E+01 3.800000E-06 46 4 5.000000E-07 41 9 0.000000E+00 0.000000E+00 93 0 57 78 0 2 0 94
1.250000E+04 9.999999E+01 3.800000E-06 46 4 5.000000E-07 41 9 0.000000E+00 0.000000E+00 94 0 56 82 0 2 0 97
1.300000E+04 9.999999E+01 4.400000E-06 46 4 6.000000E-07 40 10 0.000000E+00 0.000000E+00 98 0 52 90 0 2 0 100
1.350000E+04 9.999999E+01 4.400000E-06 46 4 5.000000E-07 39 11 0.000000E+00 0.000000E+00 101 0 49 96 0 2 0 104
1.400000E+04 9.999999E+01 4.400000E-06 46 4 5.000000E-07 39 11 0.000000E+00 0.000000E+00 105 0 45 103 0 2 0 109
1.450000E+04 9.999999E+01 4.400000E-06 46 4 3.000000E-07 37 13 0.000000E+00 0.000000E+00 109 0 41 110 0 2 0 113
1.500000E+04 9.999999E+01 4.400000E-06 46 4 2.000000E-07 36 14 0.000000E+00 0.000000E+00 109 0 41 117 0 2 0 122
1.550000E+04 9.999999E+01 4.400000E-06 46 4 1.000000E-07 35 15 0.000000E+00 0.000000E+00 114 0 36 123 0 2 0 125
1.600000E+04 9.999999E+01 4.200000E-06 44 6 0.000000E+00 33 17 0.000000E+00 0.000000E+00 114 0 36 132 0 2 0 132
1.650000E+04 9.999999E+01 4.800000E-06 44 6 2.000000E-07 33 17 0.000000E+00 0.000000E+00 116 0 34 134 0 2 0 137
1.700000E+04 9.999999E+01 4.700000E-06 43 7 0.000000E+00 31 19 0.000000E+00 0.000000E+00 117 0 33 140 0 2 0 142
1.750000E+04 9.999999E+01 4.700000E-06 43 7 0.000000E+00 30 20 0.000000E+00 0.000000E+00 119 0 31 145 0 2 0 145
1.800000E+04 9.999999E+01 5.300000E-06 43 7 2.000000E-07 30 20 0.000000E+00 0.000000E+00 120 0 30 152 0 2 0 149
1.850000E+04 9.999999E+01 5.300000E-06 43 7 2.000000E-07 30 20 0.000000E+00 0.000000E+00 122 0 28 156 0 2 0 153
1.900000E+04 9.999999E+01 5.300000E-06 43 7 1.000000E-07 29 21 0.000000E+00 0.000000E+00 123 0 27 159 0 2 0 157
1.950000E+04 9.999999E+01 5.300000E-06 43 7 1.000000E-07 29 21 0.000000E+00 0.000000E+00 124 0 26 167 0 2 0 160
2.000000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 28 22 0.000000E+00 0.000000E+00 125 0 25 174 0 2 0 165
2.050000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 28 22 0.000000E+00 0.000000E+00 126 0 24 178 0 2 0 171
2.100000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 28 22 0.000000E+00 0.000000E+00 127 0 23 183 0 2 0 175
2.150000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 28 22 0.000000E+00 0.000000E+00 127 0 23 187 0 2 0 180
2.200000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 27 23 0.000000E+00 0.000000E+00 129 0 21 196 0 4 2 190
2.250000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 27 23 0.000000E+00 0.000000E+00 130 0 20 201 0 4 2 195
2.300000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 27 23 0.000000E+00 0.000000E+00 131 0 19 203 0 4 6 203
2.350000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 27 23 0.000000E+00 0.000000E+00 133 0 17 208 0 4 6 209
2.400000E+04 9.999999E+01 5.100000E-06 41 9 0.000000E+00 27 23 0.000000E+00 0.000000E+00 135 0 15 216 0 4 6 213
2.450000E+04 9.999999E+01 5.700000E-06 41 9 2.000000E-07 27 23 0.000000E+00 0.000000E+00 136 0 14 218 0 4 6 217
2.500000E+04 9.999999E+01 5.700000E-06 41 9 2.000000E-07 27 23 0.000000E+00 0.000000E+00 136 0 14 228 0 4 6 222
2.550000E+04 9.999999E+01 5.600000E-06 40 10 2.000000E-07 27 23 0.000000E+00 0.000000E+00 136 0 14 232 0 4 6 227
2.600000E+04 9.999999E+01 5.500000E-06 39 11 2.000000E-07 27 23 0.000000E+00 0.000000E+00 136 0 14 238 0 4 6 228
2.650000E+04 9.999999E+01 6.700000E-06 39 11 6.000000E-07 27 23 0.000000E+00 0.000000E+00 138 0 12 240 0 4 6 231
2.700000E+04 9.999999E+01 6.700000E-06 39 11 6.000000E-07 27 23 0.000000E+00 0.000000E+00 139 0 11 243 0 6 6 236
2.750000E+04 9.999999E+01 6.700000E-06 39 11 4.000000E-07 25 25 0.000000E+00 0.000000E+00 140 0 10 249 0 8 6 238
2.800000E+04 9.999999E+01 6.600000E-06 38 12 4.000000E-07 25 25 0.000000E+00 0.000000E+00 140 0 10 251 0 8 6 245
