 time 'glucose' 'NADH' 'Complex_I_without_NADH' 'Complex_I_with_NADH' 'succinate' 'Complex_II_without_succinate' 'Complex_II_with_succinate' 'quinols' 'Quinols' 'NapC_with_0_e' 'NapC_with_2_e' 'NapC_with_4_e' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
5.000000E+02 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 0 100 0 0 0 0 0
1.000000E+03 1.000000E+02 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 50 1 99 1 0 0 0 2
1.500000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 52 1 97 1 0 0 0 5
2.000000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 54 1 95 2 0 0 0 8
2.500000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 55 1 94 3 0 0 0 12
3.000000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 56 1 93 4 0 0 0 17
3.500000E+03 9.999999E+01 0.000000E+00 50 0 0.000000E+00 50 0 0.000000E+00 0.000000E+00 59 1 90 6 0 0 0 20
4.000000E+03 9.999999E+01 5.000000E-07 49 1 1.000000E-07 49 1 0.000000E+00 0.000000E+00 59 1 90 7 0 2 0 25
4.500000E+03 9.999999E+01 1.000000E-06 48 2 3.000000E-07 49 1 0.000000E+00 0.000000E+00 60 1 89 11 0 2 0 31
5.000000E+03 9.999999E+01 1.000000E-06 48 2 2.000000E-07 48 2 0.000000E+00 0.000000E+00 62 1 87 11 0 2 0 34
5.500000E+03 9.999999E+01 1.500000E-06 47 3 4.000000E-07 48 2 0.000000E+00 0.000000E+00 66 1 83 15 0 2 0 39
6.000000E+03 9.999999E+01 1.500000E-06 47 3 3.000000E-07 47 3 0.000000E+00 0.000000E+00 69 1 80 21 0 2 0 41
6.500000E+03 9.999999E+01 1.500000E-06 47 3 2.000000E-07 46 4 0.000000E+00 0.000000E+00 72 1 77 22 0 4 0 47
7.000000E+03 9.999999E+01 1.500000E-06 47 3 2.000000E-07 46 4 0.000000E+00 0.000000E+00 77 1 72 27 0 4 0 52
7.500000E+03 9.999999E+01 2.100000E-06 47 3 4.000000E-07 46 4 0.000000E+00 0.000000E+00 80 1 69 29 0 4 0 59
8.000000E+03 9.999999E+01 2.100000E-06 47 3 3.000000E-07 45 5 0.000000E+00 0.000000E+00 81 1 68 32 0 4 0 61
8.500000E+03 9.999999E+01 2.100000E-06 47 3 3.000000E-07 45 5 0.000000E+00 0.000000E+00 82 1 67 34 0 4 0 67
9.000000E+03 9.999999E+01 2.100000E-06 47 3 3.000000E-07 45 5 0.000000E+00 0.000000E+00 86 1 63 40 0 4 0 75
9.500000E+03 9.999999E+01 2.000000E-06 46 4 2.000000E-07 44 6 0.000000E+00 0.000000E+00 88 1 61 43 0 4 0 76
1.000000E+04 9.999999E+01 2.000000E-06 46 4 1.000000E-07 43 7 0.000000E+00 0.000000E+00 89 1 60 45 0 4 0 81
1.050000E+04 9.999999E+01 2.600000E-06 46 4 3.000000E-07 43 7 0.000000E+00 0.000000E+00 93 1 56 49 0 4 0 85
1.100000E+04 9.999999E+01 3.100000E-06 45 5 4.000000E-07 42 8 0.000000E+00 0.000000E+00 97 1 52 53 0 4 0 94
